Trial,S1_val,S2_val,S1_std,S2_std
0,-4.0,0.0,2,8
1,-4.0,0.0,2,8
2,-4.0,0.0,2,8
3,-4.0,0.0,2,8
4,-4.0,0.0,2,8
5,-4.0,0.0,2,8
6,-4.0,0.0,2,8
7,-4.0,0.0,2,8
8,-4.0,0.0,2,8
9,-4.0,0.0,2,8
10,-4.0,0.0,2,8
11,-4.0,0.0,2,8
12,-4.0,0.0,2,8
13,-4.0,0.0,2,8
14,-4.0,0.0,2,8
15,-4.0,0.0,2,8
16,-4.0,0.0,2,8
17,-4.0,0.0,2,8
18,-4.0,0.0,2,8
19,-4.0,0.0,2,8
20,-4.0,0.0,2,8
21,-4.0,0.0,2,8
22,-4.0,0.0,2,8
23,-4.0,0.0,2,8
24,-4.0,0.0,2,8
25,-4.0,0.0,2,8
26,-4.0,0.0,2,8
27,-4.0,0.0,2,8
28,-4.0,0.0,2,8
29,-4.0,0.0,2,8
30,-4.0,0.0,2,8
31,-4.0,0.0,2,8
32,-4.0,0.0,2,8
33,-4.0,0.0,2,8
34,-4.0,0.0,2,8
35,-4.0,0.0,2,8
36,-4.0,0.0,2,8
37,-4.0,0.0,2,8
38,-4.0,0.0,2,8
39,-4.0,0.0,2,8
40,-4.0,0.0,2,8
41,-4.0,0.0,2,8
42,-4.0,0.0,2,8
43,-4.0,0.0,2,8
44,-4.0,0.0,2,8
45,-4.0,0.0,2,8
46,-4.0,0.0,2,8
47,-4.0,0.0,2,8
48,-4.0,0.0,2,8
49,-4.0,0.0,2,8
50,-3.9,0.0,2,8
51,-3.9,0.0,2,8
52,-3.9,0.0,2,8
53,-3.9,0.0,2,8
54,-3.9,0.0,2,8
55,-3.9,0.0,2,8
56,-3.9,0.0,2,8
57,-3.9,0.0,2,8
58,-3.9,0.0,2,8
59,-3.9,0.0,2,8
60,-3.9,0.0,2,8
61,-3.9,0.0,2,8
62,-3.9,0.0,2,8
63,-3.9,0.0,2,8
64,-3.9,0.0,2,8
65,-3.9,0.0,2,8
66,-3.9,0.0,2,8
67,-3.9,0.0,2,8
68,-3.9,0.0,2,8
69,-3.9,0.0,2,8
70,-3.9,0.0,2,8
71,-3.9,0.0,2,8
72,-3.9,0.0,2,8
73,-3.9,0.0,2,8
74,-3.9,0.0,2,8
75,-3.9,0.0,2,8
76,-3.9,0.0,2,8
77,-3.9,0.0,2,8
78,-3.9,0.0,2,8
79,-3.9,0.0,2,8
80,-3.9,0.0,2,8
81,-3.9,0.0,2,8
82,-3.9,0.0,2,8
83,-3.9,0.0,2,8
84,-3.9,0.0,2,8
85,-3.9,0.0,2,8
86,-3.9,0.0,2,8
87,-3.9,0.0,2,8
88,-3.9,0.0,2,8
89,-3.9,0.0,2,8
90,-3.9,0.0,2,8
91,-3.9,0.0,2,8
92,-3.9,0.0,2,8
93,-3.9,0.0,2,8
94,-3.9,0.0,2,8
95,-3.9,0.0,2,8
96,-3.9,0.0,2,8
97,-3.9,0.0,2,8
98,-3.9,0.0,2,8
99,-3.9,0.0,2,8
100,-3.8,0.0,2,8
101,-3.8,0.0,2,8
102,-3.8,0.0,2,8
103,-3.8,0.0,2,8
104,-3.8,0.0,2,8
105,-3.8,0.0,2,8
106,-3.8,0.0,2,8
107,-3.8,0.0,2,8
108,-3.8,0.0,2,8
109,-3.8,0.0,2,8
110,-3.8,0.0,2,8
111,-3.8,0.0,2,8
112,-3.8,0.0,2,8
113,-3.8,0.0,2,8
114,-3.8,0.0,2,8
115,-3.8,0.0,2,8
116,-3.8,0.0,2,8
117,-3.8,0.0,2,8
118,-3.8,0.0,2,8
119,-3.8,0.0,2,8
120,-3.8,0.0,2,8
121,-3.8,0.0,2,8
122,-3.8,0.0,2,8
123,-3.8,0.0,2,8
124,-3.8,0.0,2,8
125,-3.8,0.0,2,8
126,-3.8,0.0,2,8
127,-3.8,0.0,2,8
128,-3.8,0.0,2,8
129,-3.8,0.0,2,8
130,-3.8,0.0,2,8
131,-3.8,0.0,2,8
132,-3.8,0.0,2,8
133,-3.8,0.0,2,8
134,-3.8,0.0,2,8
135,-3.8,0.0,2,8
136,-3.8,0.0,2,8
137,-3.8,0.0,2,8
138,-3.8,0.0,2,8
139,-3.8,0.0,2,8
140,-3.8,0.0,2,8
141,-3.8,0.0,2,8
142,-3.8,0.0,2,8
143,-3.8,0.0,2,8
144,-3.8,0.0,2,8
