Trial,S1_val,S1_std,S2_val,S2_std,Decision (S1>S2)
1,-10,2,0,8,1
2,-10,2,0,8,0
3,-10,2,0,8,0
4,-10,2,0,8,0
5,-10,2,0,8,0
6,-10,2,0,8,0
7,-10,2,0,8,0
8,-10,2,0,8,0
9,-10,2,0,8,0
10,-10,2,0,8,0
11,-10,2,0,8,0
12,-10,2,0,8,0
13,-10,2,0,8,0
14,-10,2,0,8,1
15,-10,2,0,8,0
16,-10,2,0,8,1
17,-10,2,0,8,0
18,-10,2,0,8,0
19,-10,2,0,8,0
20,-10,2,0,8,0
21,-10,2,0,8,0
22,-10,2,0,8,0
23,-10,2,0,8,1
24,-10,2,0,8,0
25,-10,2,0,8,0
26,-10,2,0,8,0
27,-10,2,0,8,0
28,-10,2,0,8,0
29,-10,2,0,8,0
30,-10,2,0,8,0
31,-10,2,0,8,0
32,-10,2,0,8,0
33,-10,2,0,8,0
34,-10,2,0,8,0
35,-10,2,0,8,0
36,-10,2,0,8,0
37,-10,2,0,8,0
38,-10,2,0,8,0
39,-10,2,0,8,0
40,-10,2,0,8,0
41,-10,2,0,8,1
42,-10,2,0,8,0
43,-10,2,0,8,1
44,-10,2,0,8,0
45,-10,2,0,8,0
46,-10,2,0,8,0
47,-10,2,0,8,0
48,-10,2,0,8,0
49,-10,2,0,8,0
50,-10,2,0,8,0
51,-9.9,2,0,8,0
52,-9.9,2,0,8,0
53,-9.9,2,0,8,0
54,-9.9,2,0,8,0
55,-9.9,2,0,8,0
56,-9.9,2,0,8,0
57,-9.9,2,0,8,0
58,-9.9,2,0,8,0
59,-9.9,2,0,8,0
60,-9.9,2,0,8,0
61,-9.9,2,0,8,0
62,-9.9,2,0,8,0
63,-9.9,2,0,8,1
64,-9.9,2,0,8,0
65,-9.9,2,0,8,0
66,-9.9,2,0,8,0
67,-9.9,2,0,8,0
68,-9.9,2,0,8,1
69,-9.9,2,0,8,0
70,-9.9,2,0,8,0
71,-9.9,2,0,8,0
72,-9.9,2,0,8,0
73,-9.9,2,0,8,0
74,-9.9,2,0,8,0
75,-9.9,2,0,8,0
76,-9.9,2,0,8,0
77,-9.9,2,0,8,0
78,-9.9,2,0,8,0
79,-9.9,2,0,8,0
80,-9.9,2,0,8,0
81,-9.9,2,0,8,0
82,-9.9,2,0,8,0
83,-9.9,2,0,8,1
84,-9.9,2,0,8,0
85,-9.9,2,0,8,0
86,-9.9,2,0,8,0
87,-9.9,2,0,8,0
88,-9.9,2,0,8,1
89,-9.9,2,0,8,0
90,-9.9,2,0,8,0
91,-9.9,2,0,8,0
92,-9.9,2,0,8,0
93,-9.9,2,0,8,0
94,-9.9,2,0,8,0
95,-9.9,2,0,8,0
96,-9.9,2,0,8,1
97,-9.9,2,0,8,0
98,-9.9,2,0,8,0
99,-9.9,2,0,8,0
100,-9.9,2,0,8,0
101,-9.8,2,0,8,0
102,-9.8,2,0,8,0
103,-9.8,2,0,8,0
104,-9.8,2,0,8,0
105,-9.8,2,0,8,0
106,-9.8,2,0,8,0
107,-9.8,2,0,8,0
108,-9.8,2,0,8,0
109,-9.8,2,0,8,0
110,-9.8,2,0,8,0
111,-9.8,2,0,8,0
112,-9.8,2,0,8,0
113,-9.8,2,0,8,0
114,-9.8,2,0,8,0
115,-9.8,2,0,8,0
116,-9.8,2,0,8,0
117,-9.8,2,0,8,0
118,-9.8,2,0,8,0
119,-9.8,2,0,8,1
120,-9.8,2,0,8,0
121,-9.8,2,0,8,0
122,-9.8,2,0,8,1
123,-9.8,2,0,8,0
124,-9.8,2,0,8,0
125,-9.8,2,0,8,0
126,-9.8,2,0,8,0
127,-9.8,2,0,8,0
128,-9.8,2,0,8,0
129,-9.8,2,0,8,0
130,-9.8,2,0,8,0
131,-9.8,2,0,8,0
132,-9.8,2,0,8,0
133,-9.8,2,0,8,0
134,-9.8,2,0,8,0
135,-9.8,2,0,8,0
136,-9.8,2,0,8,0
137,-9.8,2,0,8,1
138,-9.8,2,0,8,0
139,-9.8,2,0,8,0
140,-9.8,2,0,8,0
141,-9.8,2,0,8,0
142,-9.8,2,0,8,0
143,-9.8,2,0,8,0
144,-9.8,2,0,8,0
145,-9.8,2,0,8,0
146,-9.8,2,0,8,0
147,-9.8,2,0,8,0
148,-9.8,2,0,8,0
149,-9.8,2,0,8,0
