,Trial,S1_val,S1_std,S2_val,S2_std,Decision (S1>S2)
0,1,-10.0,2,0,8,1
1,2,-10.0,2,0,8,0
2,3,-10.0,2,0,8,0
3,4,-10.0,2,0,8,0
4,5,-10.0,2,0,8,0
5,6,-10.0,2,0,8,0
6,7,-10.0,2,0,8,1
7,8,-10.0,2,0,8,1
8,9,-10.0,2,0,8,0
9,10,-10.0,2,0,8,0
10,11,-10.0,2,0,8,0
11,12,-10.0,2,0,8,0
12,13,-10.0,2,0,8,0
13,14,-10.0,2,0,8,0
14,15,-10.0,2,0,8,0
15,16,-10.0,2,0,8,0
16,17,-10.0,2,0,8,0
17,18,-10.0,2,0,8,0
18,19,-10.0,2,0,8,0
19,20,-10.0,2,0,8,0
20,21,-10.0,2,0,8,0
21,22,-10.0,2,0,8,0
22,23,-10.0,2,0,8,0
23,24,-10.0,2,0,8,0
24,25,-10.0,2,0,8,0
25,26,-10.0,2,0,8,0
26,27,-10.0,2,0,8,0
27,28,-10.0,2,0,8,0
28,29,-10.0,2,0,8,0
29,30,-10.0,2,0,8,0
30,31,-10.0,2,0,8,0
31,32,-10.0,2,0,8,0
32,33,-10.0,2,0,8,0
33,34,-10.0,2,0,8,0
34,35,-10.0,2,0,8,0
35,36,-10.0,2,0,8,0
36,37,-10.0,2,0,8,0
37,38,-10.0,2,0,8,0
38,39,-10.0,2,0,8,0
39,40,-10.0,2,0,8,0
40,41,-10.0,2,0,8,0
41,42,-10.0,2,0,8,0
42,43,-10.0,2,0,8,0
43,44,-10.0,2,0,8,0
44,45,-10.0,2,0,8,0
45,46,-10.0,2,0,8,0
46,47,-10.0,2,0,8,0
47,48,-10.0,2,0,8,0
48,49,-10.0,2,0,8,1
49,50,-10.0,2,0,8,0
50,51,-9.9,2,0,8,0
51,52,-9.9,2,0,8,0
52,53,-9.9,2,0,8,0
53,54,-9.9,2,0,8,0
54,55,-9.9,2,0,8,0
55,56,-9.9,2,0,8,0
56,57,-9.9,2,0,8,0
57,58,-9.9,2,0,8,0
58,59,-9.9,2,0,8,0
59,60,-9.9,2,0,8,0
60,61,-9.9,2,0,8,0
61,62,-9.9,2,0,8,0
62,63,-9.9,2,0,8,0
63,64,-9.9,2,0,8,0
64,65,-9.9,2,0,8,0
65,66,-9.9,2,0,8,0
66,67,-9.9,2,0,8,0
67,68,-9.9,2,0,8,0
68,69,-9.9,2,0,8,0
69,70,-9.9,2,0,8,0
70,71,-9.9,2,0,8,0
71,72,-9.9,2,0,8,0
72,73,-9.9,2,0,8,0
73,74,-9.9,2,0,8,0
74,75,-9.9,2,0,8,0
75,76,-9.9,2,0,8,0
76,77,-9.9,2,0,8,0
77,78,-9.9,2,0,8,1
78,79,-9.9,2,0,8,0
79,80,-9.9,2,0,8,0
80,81,-9.9,2,0,8,0
81,82,-9.9,2,0,8,0
82,83,-9.9,2,0,8,0
83,84,-9.9,2,0,8,0
84,85,-9.9,2,0,8,0
85,86,-9.9,2,0,8,0
86,87,-9.9,2,0,8,0
87,88,-9.9,2,0,8,1
88,89,-9.9,2,0,8,0
89,90,-9.9,2,0,8,0
90,91,-9.9,2,0,8,1
